"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NQO1",0.22519660416666,9.95529042857143,1.94131721619092,0.0566889660370524,0.122809735386128,-4.96910448560366
"PTGR1",0.298877748903509,14.1835154246032,3.73281002848383,0.000408657484768139,0.00276275482660151,-0.495622239574191
"CYP2A6",-0.111933466008779,13.9407517936508,-1.84368300434328,0.069926343607417,0.143140258185351,-5.14446099251501
"GSTA1",0.0946583289473608,14.6574179722222,2.97360794888964,0.00416472206513078,0.0173721344302191,-2.65614149911224
"GSTA2",0.0882255400219254,14.0987301230159,0.826362881285811,0.411712322865346,0.532708646547667,-6.46450393800448
"GSTA3",-0.050701542763159,8.29590236825397,-0.445422513098501,0.657539008820719,0.746014510180546,-6.7059150287911
"GSTA5",-0.458705655482461,8.69385587142857,-2.99554144019975,0.00391159522718454,0.0165693189785947,-2.59866740122335
"GSTP1",0.089787145833327,12.3696607936508,0.760627417646896,0.44971287077503,0.567839682846951,-6.51632965335802
"GSTM1",0.517028813961982,11.4353683994709,0.832633114790197,0.408192307162777,0.529372296867443,-6.45934090667409
"GSTM3",-0.341941796052636,11.7610435238095,-1.6200229531613,0.110215209256942,0.19941484951518,-5.51529286056351
"MGST1",0.396576716282892,12.948537547619,4.40129795175772,4.23441002765388e-05,0.000428668669466195,1.65724934211094
"UGT1A1",0.124801653508769,14.1362306507937,0.790818840885487,0.432012305296728,0.551570129467696,-6.4930492854358
"UGT1A4",0.0617670296052601,13.9520900238095,0.477243993248757,0.634837395150789,0.727810785073257,-6.69123163378461
"UGT1A8",-0.138961464035093,8.21765804444444,-1.46406808621359,0.148140086549317,0.249179222503466,-5.74776288715988
"UGT1A10",-0.0527006140350892,8.20545684920635,-0.713641774150918,0.478080260658438,0.594992697765007,-6.55078941923014
"CES1",0.121961720942972,14.6264869484127,2.43635603212204,0.0176703483878052,0.0525941403920153,-3.9601200642609
"CBR1",0.524772984649115,13.2005835952381,4.42858956892289,3.8457613549911e-05,0.000397711946748422,1.7492944717637
"CBR3",0.00746324561403,8.62681318730159,0.105626399357345,0.916213873499644,0.943492702133483,-6.79971933590914
"PRDX6",-0.0635104046052763,14.7781887936508,-1.93366647508761,0.0576429924227568,0.124324823007374,-4.98313606788196
"PRDX1",0.301450808662272,14.2918895436508,4.84795936646131,8.48930264375815e-06,0.000113807544978992,3.19866072389516
"GCLC",0.149650981359645,13.2904275753968,1.66077660818485,0.101720279716255,0.187897043816021,-5.4509758060045
"GCLM",-0.259289980263162,11.8927570595238,-2.4676731891719,0.0163236834235253,0.0494916175897363,-3.88983707341101
"GSR",-0.200592321271934,13.0715086507937,-2.63377442144444,0.0106082725172208,0.0358591704925202,-3.50488094607338
"SLC7A11",-0.276052168859653,9.3000448984127,-1.1913175398468,0.237991146751938,0.355604416375229,-6.10111033168639
"FTL",0.00663758004384896,14.7365409365079,0.220395266432096,0.826274921233833,0.878076054316207,-6.78095186431
"FTH1",0.043213403070169,11.4363024904762,0.74155847290311,0.461106266310157,0.578772327379546,-6.53057524133049
"HMOX1",-0.681408116228072,13.4818347222222,-7.24471931701723,7.41968838202913e-10,4.77187801824619e-08,12.2748924666797
"G6PD",-0.117262787280703,9.86092254232804,-2.01838236856531,0.04780713722824,0.108304876326898,-4.82504088689479
"PGD",0.326380491228065,11.0041001269841,2.24126252130974,0.0285356729187477,0.0749375557834208,-4.38103651047491
"TKT",0.315748047149114,12.8446896746032,2.27072567051151,0.0265864951868084,0.0710499440359445,-4.31936606271133
"TALDO1",0.371660649122804,10.3986446587302,1.80701379646522,0.0755283681256774,0.151410643242674,-5.2082276449253
"ME1",1.31761960635964,11.9645695396825,8.18339078244309,1.68798447098391e-11,2.02558136518069e-09,15.9705114663768
"IDH1",0.563628696820167,13.0061691428571,4.98176578745203,5.18315816837096e-06,7.62936071455052e-05,3.67375193669794
"TXN",0.196810468749998,14.4610249285714,3.23365420568135,0.00194588984887183,0.00963399049705602,-1.9548332208823
"SRXN1",-0.0304165690789535,13.5222639047619,-0.299946068921476,0.765204269139263,0.831725395816895,-6.76020302430294
"TXNRD1",-0.00727555975877614,12.8010926031746,-0.0762691828044992,0.939446271105024,0.959858312641419,-6.80239863442371
