"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NQO1",0.00247013412332642,4.59974061829711,0.00990126912810647,0.992126652706282,0.997376760233325,-5.96342705491524
"PTGR1",0.21168030509685,10.0240670366303,2.20844301992002,0.0303044984291926,0.333349482721119,-3.7296355460454
"CYP2A6",0.15809584872912,11.980938670686,0.940014023788638,0.350262836898107,0.772107166257534,-5.5473456177836
"GSTA1",0.173546723111624,11.1368612363429,1.6633575290128,0.10046256959316,0.518957216698669,-4.67768154573733
"GSTA2",-0.542493476061235,10.1522627123814,-1.3354356856738,0.185819183169026,0.637941995774688,-5.12895062570988
"GSTA3",-0.422063117576577,5.18498413011039,-2.04578654833006,0.0443247869951633,0.391133281219829,-4.03747028348521
"GSTA5",-0.0395054849504644,2.86019860591944,-0.512493860982762,0.609828827705769,0.895006377253777,-5.8392339211659
"GSTP1",0.141608287704639,7.30807866392025,0.966658361544478,0.336857437620768,0.762475952183376,-5.52358024843554
"GSTM1",-0.327502972083918,8.90262013874521,-0.351387202667728,0.726294488775232,0.931959644169913,-5.90500962889738
"GSTM3",-0.639844296972335,5.31195959152032,-1.87781951248794,0.0643385252592411,0.448932947709108,-4.33336346682377
"MGST1",-0.0378679846179537,11.1775066229863,-0.494389459990706,0.622492847214637,0.899045784951296,-5.84784158215936
"UGT1A1",0.14616810643016,8.91841178759882,1.53393378920543,0.129302261297152,0.566000875062494,-4.86682281508271
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CES1",0.214895911582287,12.667412836291,3.48439454835932,0.000831719493410009,0.0676127090618429,-0.662278548410075
"CBR1",0.0696622819335619,7.75701803898387,0.580102830734006,0.563604103750396,0.88208125967743,-5.80437612849728
"CBR3",-0.0157462344982657,3.84589895528557,-0.185881405164003,0.853045373408597,0.966472232588812,-5.94710290931021
"PRDX6",-0.252590897780841,10.4117944065524,-2.46002962323246,0.0162225188440106,0.250275570818395,-3.21367179032301
"PRDX1",-0.00836705740154642,10.0725578035552,-0.104769272144422,0.916841802780071,0.980810852217917,-5.95827194800635
"GCLC",0.0426839015904381,9.0832544633763,0.470390884606643,0.639456589375728,0.904694225280214,-5.85877773092631
"GCLM",-0.288846287471236,6.84983642503471,-2.14074616387189,0.0355824193246296,0.355610805424259,-3.86026126227056
"GSR",0.00385332741363698,9.24007431148033,0.0531388888326318,0.957764163522581,0.989729270083401,-5.96213532847933
"SLC7A11",-0.253321780717102,2.46097093425254,-2.04598706424094,0.0443045323176205,0.391133281219829,-4.03710357136224
"FTL",0.0343037275171181,11.0628365640426,0.638479212749762,0.525129119439417,0.865994218275471,-5.7708427465171
"FTH1",-0.0296577130033491,10.353317900408,-0.529742301970986,0.597873372045467,0.892944057992618,-5.83074748593938
"HMOX1",0.108452486759282,7.95361683436918,0.441610939357643,0.660056055567353,0.911031719600026,-5.87117967578903
"G6PD",0.163061703603342,6.01811829717427,1.803799508093,0.0753247116290762,0.476841906666118,-4.45650045617298
"PGD",0.143945468227667,9.05413317153669,1.32972160093299,0.187686534382064,0.641233997858029,-5.13598811629015
"TKT",0.369389353880328,7.60251515909385,3.20481110932594,0.00199402230072839,0.0996911449249158,-1.42478991992844
"TALDO1",0.000695772776369452,8.89886989339376,0.00874879974905043,0.993043054580486,0.997883272473773,-5.96343724106085
"ME1",1.09571655567357,6.51337170975588,5.20912473001132,1.64387521240091e-06,0.00273951804146612,4.87368153300389
"IDH1",0.0774503186667648,10.6866224603161,0.917023574596406,0.36210357809411,0.778904271230083,-5.56733134838192
"TXN",-0.21063580247824,8.8493169928559,-1.59830913105515,0.114227472435833,0.541271161460844,-4.77452200856723
"SRXN1",0.0129392354032767,6.74763261448099,0.119931747598658,0.904861605139857,0.978157798887309,-5.95665760184851
"TXNRD1",0.0867224576795129,6.78864987615361,0.85006786738362,0.398024091338497,0.803440575208162,-5.62278057597127
