"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NQO1",-1.71840824715393,8.08377235305557,-24.0557246661035,1.23383683760456e-08,7.95850465189059e-06,10.6336381319931
"PTGR1",0.261597560554513,8.4324366201966,3.49336780180218,0.00840764275184384,0.078022974104206,-3.28162283628881
NA,NA,NA,NA,NA,NA,NA
"GSTA1",-3.97265821504527,9.91296445019733,-44.360186269655,1.04701144206102e-10,5.40275354294189e-07,14.1981237602294
"GSTA2",-1.77537818441942,11.0640477572924,-15.2197705734013,4.17972126362344e-07,8.68512416396278e-05,7.26749021546779
"GSTA3",-0.378064526159619,17.3919207022731,-3.39877494868248,0.00964874761096898,0.0856464663942691,-3.42653360907054
NA,NA,NA,NA,NA,NA,NA
"GSTP1",-0.397386998360856,13.988719168805,-4.09670276984233,0.00359734963465771,0.0436907442606055,-2.3808833531508
"GSTM1",-2.33791536728149,14.124577090192,-15.6768306810313,3.33568362906594e-07,7.48377542315295e-05,7.49504563734148
"GSTM3",-1.79559389121549,11.9936306199321,-24.9588005615559,9.27049409328873e-09,6.98425508910809e-06,10.8849021832088
"MGST1",-0.334561371637292,16.7871181132399,-1.67501748373403,0.133192054530846,0.452662919904448,-6.06032452285176
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"UGT1A10",0.331215560517705,7.64736712677634,9.21236839236032,1.76943948733738e-05,0.00112051399754943,3.3478650739918
"CES1",-3.23714094742431,10.1569588900149,-50.5574375075007,3.76393751563754e-11,2.33070538843308e-07,14.7634130488399
"CBR1",-0.427738807918411,12.8057970264174,-2.04639846205349,0.0756061871459916,0.326614086818341,-5.52351330994339
"CBR3",-1.25793141107358,9.69984346727299,-11.1392178206474,4.38597973103428e-06,0.000416546989118259,4.83219267027901
"PRDX6",-0.380935966729352,12.9279023638701,-8.94035093803069,2.1978308939603e-05,0.00127667996825337,3.11542977209425
"PRDX1",-0.115709326797347,13.5811267069781,-3.22754197807363,0.0124159093945191,0.100472809922558,-3.69086244791265
"GCLC",-1.12679912302265,13.1005875752649,-7.04081976418921,0.000118659862033389,0.00400635549445556,1.29790102061442
"GCLM",0.00515425158851635,9.98845223473348,0.0150616220596791,0.988358854126075,0.997712925080557,-7.40667020194289
"GSR",-0.477104893924158,11.5605634361815,-6.57815189404687,0.000188676857462581,0.00549606570302957,0.79623262088995
"SLC7A11",0.0369954363954283,5.94118575006335,0.73548194269831,0.483443410426466,0.80850499859551,-7.11301909822376
"FTL1",-0.137311436701001,17.7639934997072,-0.457653654400444,0.65960459856479,0.894510109977036,-7.29070493759837
"FTH1",-0.348209097289985,17.5876585375484,-2.62503486804014,0.0309122977461625,0.186637217339886,-4.632683614018
"HMOX1",-0.243249711416068,9.75040559941923,-1.60665241377907,0.147527371670579,0.477582073849101,-6.1540266221593
"G6PDX",-0.114679783977186,8.94994958180583,-0.95657047408389,0.367317757538111,0.728494336758533,-6.92077055518088
"PGD",-0.670449301410887,11.1569697529657,-7.35161713058072,8.80111443914399e-05,0.00327513586719155,1.62087556395326
"TKT",-0.76226790264213,13.8794233707912,-9.58436913694958,1.32684718162473e-05,0.00090485717159214,3.65585203953773
"TALDO1",-0.399015365500375,14.5440506845507,-11.7514541553459,2.94429139662202e-06,0.000310061924934743,5.25190852488627
"ME1",-2.06671817722822,12.0743731033094,-17.9626868438474,1.17651238782656e-07,3.91713846963201e-05,8.52815848230117
"IDH1",0.0202516093229459,11.1180837500094,0.119351981398367,0.907994975229721,0.974400881519701,-7.39880392356522
NA,NA,NA,NA,NA,NA,NA
"SRXN1",-0.922649666347699,12.1624015191654,-11.7149529025604,3.01349057531804e-06,0.000314766368636161,5.22750739123328
"TXNRD1",-0.842956848032237,11.873216238941,-4.62791596001869,0.00178029403003815,0.0268352889308721,-1.62749661189896
