"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NQO1",0.0558680741666571,9.95529042857143,0.488477378912659,0.62690522926436,0.707831033386265,-6.63438812841799
"PTGR1",0.211352541666649,14.1835154246032,2.67729277802101,0.00944827299561561,0.0308822475591621,-3.35387155459825
"CYP2A6",-0.0772402791666877,13.9407517936508,-1.290375836994,0.201629091914629,0.296829300098257,-5.93025340115319
"GSTA1",0.110009724999975,14.6574179722222,3.5051131453519,0.000845755132400577,0.00489686996341375,-1.13524232903579
"GSTA2",0.237300897916654,14.0987301230159,2.2543531188681,0.027654597714759,0.0664601884267258,-4.30551294319419
"GSTA3",0.0688812774999938,8.29590236825397,0.613759559613855,0.541580797062542,0.634763271168532,-6.56552418426355
"GSTA5",-0.381707729166679,8.69385587142857,-2.52823988411249,0.013978312095741,0.0408029044859363,-3.70448605572119
"GSTP1",0.190621545833315,12.3696607936508,1.63785663211809,0.106429715378737,0.181031702562968,-5.43753004190681
"GSTM1",-0.0467767180555771,11.4353683994709,-0.0764037661823549,0.939339629813768,0.955932937016667,-6.75081383512987
"GSTM3",-0.276505575000014,11.7610435238095,-1.32867559617399,0.188740486520043,0.282078734410271,-5.88133160866663
"MGST1",0.353934784374974,12.948537547619,3.98403266894347,0.000178150676629653,0.00144996084204779,0.330221370553284
"UGT1A1",-0.00969263333335846,14.1362306507937,-0.0622937591043009,0.950525817544997,0.964543059156726,-6.75179452174797
"UGT1A4",-0.0744500625000235,13.9520900238095,-0.583438263574428,0.561678139299434,0.65295208112782,-6.5836120778122
"UGT1A8",0.0391751033333261,8.21765804444444,0.418623043277101,0.676913228034008,0.751294383751801,-6.66603829379091
"UGT1A10",0.129905113333319,8.20545684920635,1.78417283162149,0.0792038691308103,0.144635069545731,-5.1978981392219
"CES1",0.0791377729166385,14.6264869484127,1.60341935121524,0.113836800952754,0.19055101154633,-5.49120328699664
"CBR1",0.457352233333317,13.2005835952381,3.91463121137171,0.000224699573531717,0.00174510166026211,0.11067855093071
"CBR3",0.0223336066666526,8.62681318730159,0.320589793155183,0.749580662661309,0.80946814317244,-6.70227448941613
"PRDX6",-0.0509696375000246,14.7781887936508,-1.57396227891082,0.120497614108093,0.198908995608729,-5.53628079586957
"PRDX1",0.23650588958332,14.2918895436508,3.85771877763626,0.000271393065362313,0.00202040263567421,-0.0676180717641826
"GCLC",0.197021508333316,13.2904275753968,2.21764168561748,0.030188275821851,0.0707436613686625,-4.38166680115949
"GCLM",-0.32203237500001,11.8927570595238,-3.1084760801395,0.00281998417558627,0.0125559476415244,-2.25260928054022
"GSR",-0.184098541666685,13.0715086507937,-2.45166262653285,0.0170001675618168,0.0470397838270786,-3.87826848214586
"SLC7A11",-0.440543978333345,9.3000448984127,-1.92828724543974,0.0583219206475296,0.115180672186993,-4.9438607996431
"FTL",0.0411296208333063,14.7365409365079,1.38513876590366,0.170887947944655,0.261473706698088,-5.8067472929468
"FTH1",0.0948067633333149,11.4363024904762,1.65010788672439,0.103890851993711,0.177557270276702,-5.41818311390378
"HMOX1",-0.674385708333348,13.4818347222222,-7.2722484385969,6.64129114642208e-10,5.49162225889019e-08,12.3999273974318
"G6PD",-0.222364900000011,9.86092254232804,-3.88200019847082,0.000250432555803134,0.00189766434238315,0.00825726327552267
"PGD",0.226041633333319,11.0041001269841,1.57435642475873,0.120406471199992,0.198781772418781,-5.5356827334902
"TKT",0.143074870833315,12.8446896746032,1.04359849924329,0.300653245471209,0.404377793252693,-6.2126564151532
"TALDO1",0.604536533333317,10.3986446587302,2.98114791920241,0.00407603765093136,0.0166328764007168,-2.59073141836755
"ME1",0.836509570833314,11.9645695396825,5.26938878978882,1.76584927395189e-06,3.51384365130164e-05,4.74626542867727
"IDH1",0.528627289583312,13.0061691428571,4.73899090274432,1.26385081521934e-05,0.000174710432898094,2.85279287625004
"TXN",0.109150206249968,14.4610249285714,1.81893017694682,0.073668093457583,0.137264540735205,-5.13824855578024
"SRXN1",-0.394527362500021,13.5222639047619,-3.94599168237952,0.000202375562652112,0.00159821471628955,0.209598104208725
"TXNRD1",-0.178290797916688,12.8010926031746,-1.89564799746062,0.0625888412333495,0.121341035012961,-5.00293821089773
